WorkPosition,Country,Question,Option
Project Manager,United Kingdom,Question 2,option a
Project Manager,United Kingdom,Question 3,option b
Project Manager,United Kingdom,Question 4,option b
Project Manager,United Kingdom,Question 5,option a
Project Manager,United Kingdom,Question 6,option b
Project Manager,United Kingdom,Question 7,option b
Project Manager,United Kingdom,Question 8,option a
Project Manager,United Kingdom,Question 9,option b
Project Manager,United Kingdom,Question 10,option a
Project Manager,United Kingdom,Question 11,option a
Project Manager,United Kingdom,Question 12,option b
Project Manager,United Kingdom,Question 13,option b
Project Manager,United Kingdom,Question 14,option b
Project Manager,United Kingdom,Question 15,option a
Project Manager,United Kingdom,Question 16,option b
Project Manager,United Kingdom,Question 17,option a
Project Manager,United Kingdom,Question 18,option b
Project Manager,United Kingdom,Question 19,option a
Project Manager,United Kingdom,Question 20,option b
Full Stack Software Engineer,Macedonia,Question 1,option a
Full Stack Software Engineer,Macedonia,Question 2,option a
Full Stack Software Engineer,Macedonia,Question 3,option a
Full Stack Software Engineer,Macedonia,Question 4,option a
Full Stack Software Engineer,Macedonia,Question 5,option a
Full Stack Software Engineer,Macedonia,Question 6,option a
Full Stack Software Engineer,Macedonia,Question 7,option a
Full Stack Software Engineer,Macedonia,Question 8,option a
Full Stack Software Engineer,Macedonia,Question 9,option a
Full Stack Software Engineer,Macedonia,Question 10,option a
Full Stack Software Engineer,Macedonia,Question 11,option a
Full Stack Software Engineer,Macedonia,Question 12,option a
Full Stack Software Engineer,Macedonia,Question 13,option a
Full Stack Software Engineer,Macedonia,Question 14,option a
Full Stack Software Engineer,Macedonia,Question 15,option a
Full Stack Software Engineer,Macedonia,Question 16,option a
Full Stack Software Engineer,Macedonia,Question 17,option a
Full Stack Software Engineer,Macedonia,Question 18,option a
Full Stack Software Engineer,Macedonia,Question 19,option a
Full Stack Software Engineer,Macedonia,Question 20,option a
Full Stack Software Engineer,Canada,Question 1,option a
Full Stack Software Engineer,Canada,Question 2,option a
Full Stack Software Engineer,Canada,Question 3,option a
Full Stack Software Engineer,Canada,Question 4,option a
Full Stack Software Engineer,Canada,Question 5,option a
Full Stack Software Engineer,Canada,Question 6,option a
Full Stack Software Engineer,Canada,Question 7,option a
Full Stack Software Engineer,Canada,Question 8,option a
Full Stack Software Engineer,Canada,Question 9,option a
Full Stack Software Engineer,Canada,Question 10,option a
Full Stack Software Engineer,Canada,Question 11,option a
Full Stack Software Engineer,Canada,Question 12,option a
Full Stack Software Engineer,Canada,Question 13,option a
Full Stack Software Engineer,Canada,Question 14,option a
Full Stack Software Engineer,Canada,Question 15,option a
Full Stack Software Engineer,Canada,Question 16,option a
Full Stack Software Engineer,Canada,Question 17,option a
Full Stack Software Engineer,Canada,Question 18,option a
Full Stack Software Engineer,Canada,Question 19,option a
Full Stack Software Engineer,Canada,Question 20,option a
Full Stack Software Engineer,Spain,Question 1,option a
Full Stack Software Engineer,Spain,Question 2,option a
Full Stack Software Engineer,Spain,Question 3,option a
Full Stack Software Engineer,Spain,Question 4,option a
Full Stack Software Engineer,Spain,Question 5,option a
Full Stack Software Engineer,Spain,Question 6,option a
Full Stack Software Engineer,Spain,Question 7,option a
Full Stack Software Engineer,Spain,Question 8,option a
Full Stack Software Engineer,Spain,Question 9,option a
Full Stack Software Engineer,Spain,Question 10,option a
Full Stack Software Engineer,Spain,Question 11,option a
Full Stack Software Engineer,Spain,Question 12,option a
Full Stack Software Engineer,Spain,Question 13,option a
Full Stack Software Engineer,Spain,Question 14,option a
Full Stack Software Engineer,Spain,Question 15,option a
Full Stack Software Engineer,Spain,Question 16,option a
Full Stack Software Engineer,Spain,Question 17,option a
Full Stack Software Engineer,Spain,Question 18,option a
Full Stack Software Engineer,Spain,Question 19,option a
Full Stack Software Engineer,Spain,Question 20,option a
Full Stack Software Engineer,Argentina,Question 1,option a
Full Stack Software Engineer,Argentina,Question 2,option a
Full Stack Software Engineer,Argentina,Question 3,option b
Full Stack Software Engineer,Argentina,Question 4,option b
Full Stack Software Engineer,Argentina,Question 5,option a
Full Stack Software Engineer,Argentina,Question 6,option b
Full Stack Software Engineer,Argentina,Question 7,option b
Full Stack Software Engineer,Argentina,Question 8,option a
Full Stack Software Engineer,Argentina,Question 9,option b
Full Stack Software Engineer,Argentina,Question 10,option a
Full Stack Software Engineer,Argentina,Question 11,option a
Full Stack Software Engineer,Argentina,Question 12,option b
Full Stack Software Engineer,Argentina,Question 13,option b
Full Stack Software Engineer,Argentina,Question 14,option b
Full Stack Software Engineer,Argentina,Question 15,option a
Full Stack Software Engineer,Argentina,Question 16,option b
Full Stack Software Engineer,Argentina,Question 17,option a
Full Stack Software Engineer,Argentina,Question 18,option b
Full Stack Software Engineer,Argentina,Question 19,option a
Full Stack Software Engineer,Argentina,Question 20,option b
Full Stack Software Engineer,Germany,Question 1,option a
Full Stack Software Engineer,Germany,Question 2,option a
Full Stack Software Engineer,Germany,Question 3,option a
Full Stack Software Engineer,Germany,Question 4,option a
Full Stack Software Engineer,Germany,Question 5,option a
Full Stack Software Engineer,Germany,Question 6,option a
Full Stack Software Engineer,Germany,Question 7,option a
Full Stack Software Engineer,Germany,Question 8,option a
Full Stack Software Engineer,Germany,Question 9,option a
Full Stack Software Engineer,Germany,Question 10,option a
Full Stack Software Engineer,Germany,Question 11,option a
Full Stack Software Engineer,Germany,Question 12,option a
Full Stack Software Engineer,Germany,Question 13,option a
Full Stack Software Engineer,Germany,Question 14,option a
Full Stack Software Engineer,Germany,Question 15,option a
Full Stack Software Engineer,Germany,Question 16,option a
Full Stack Software Engineer,Germany,Question 17,option a
Full Stack Software Engineer,Germany,Question 18,option a
Full Stack Software Engineer,Germany,Question 19,option a
Full Stack Software Engineer,Germany,Question 20,option a
Full Stack Software Engineer,Malta,Question 1,option a
Full Stack Software Engineer,Malta,Question 2,option a
Full Stack Software Engineer,Malta,Question 3,option a
Full Stack Software Engineer,Malta,Question 4,option a
Full Stack Software Engineer,Malta,Question 5,option a
Full Stack Software Engineer,Malta,Question 6,option a
Full Stack Software Engineer,Malta,Question 7,option a
Full Stack Software Engineer,Malta,Question 8,option a
Full Stack Software Engineer,Malta,Question 9,option a
Full Stack Software Engineer,Malta,Question 10,option a
Full Stack Software Engineer,Malta,Question 11,option a
Full Stack Software Engineer,Malta,Question 12,option a
Full Stack Software Engineer,Malta,Question 13,option a
Full Stack Software Engineer,Malta,Question 14,option a
Full Stack Software Engineer,Malta,Question 15,option a
Full Stack Software Engineer,Malta,Question 16,option a
Full Stack Software Engineer,Malta,Question 17,option a
Full Stack Software Engineer,Malta,Question 18,option a
Full Stack Software Engineer,Malta,Question 19,option a
Full Stack Software Engineer,Malta,Question 20,option a
Full Stack Software Engineer,United Kingdom,Question 1,option a
Full Stack Software Engineer,United Kingdom,Question 2,option a
Full Stack Software Engineer,United Kingdom,Question 3,option b
Full Stack Software Engineer,United Kingdom,Question 4,option b
Full Stack Software Engineer,United Kingdom,Question 5,option a
Full Stack Software Engineer,United Kingdom,Question 6,option b
Full Stack Software Engineer,United Kingdom,Question 7,option b
Full Stack Software Engineer,United Kingdom,Question 8,option a
Full Stack Software Engineer,United Kingdom,Question 9,option b
Full Stack Software Engineer,United Kingdom,Question 10,option a
Full Stack Software Engineer,United Kingdom,Question 11,option a
Full Stack Software Engineer,United Kingdom,Question 12,option b
Full Stack Software Engineer,United Kingdom,Question 13,option b
Full Stack Software Engineer,United Kingdom,Question 14,option b
Full Stack Software Engineer,United Kingdom,Question 15,option a
Full Stack Software Engineer,United Kingdom,Question 16,option b
Full Stack Software Engineer,United Kingdom,Question 17,option a
Full Stack Software Engineer,United Kingdom,Question 18,option a
Full Stack Software Engineer,United Kingdom,Question 19,option a
Full Stack Software Engineer,United Kingdom,Question 20,option b
System Administrator,Macedonia,Question 1,option a
System Administrator,Macedonia,Question 2,option b
System Administrator,Macedonia,Question 3,option b
System Administrator,Macedonia,Question 4,option b
System Administrator,Macedonia,Question 5,option a
System Administrator,Macedonia,Question 6,option b
System Administrator,Macedonia,Question 7,option b
System Administrator,Macedonia,Question 8,option b
System Administrator,Macedonia,Question 9,option b
System Administrator,Macedonia,Question 10,option b
System Administrator,Macedonia,Question 11,option a
System Administrator,Macedonia,Question 12,option a
System Administrator,Macedonia,Question 13,option b
System Administrator,Macedonia,Question 14,option b
System Administrator,Macedonia,Question 15,option b
System Administrator,Macedonia,Question 16,option b
System Administrator,Macedonia,Question 17,option a
System Administrator,Macedonia,Question 18,option b
System Administrator,Macedonia,Question 19,option a
System Administrator,Macedonia,Question 20,option b
System Administrator,Canada,Question 1,option a
System Administrator,Canada,Question 2,option a
System Administrator,Canada,Question 3,option a
System Administrator,Canada,Question 4,option a
System Administrator,Canada,Question 5,option a
System Administrator,Canada,Question 6,option a
System Administrator,Canada,Question 7,option a
System Administrator,Canada,Question 8,option a
System Administrator,Canada,Question 9,option a
System Administrator,Canada,Question 10,option a
System Administrator,Canada,Question 11,option a
System Administrator,Canada,Question 12,option a
System Administrator,Canada,Question 13,option a
System Administrator,Canada,Question 14,option a
System Administrator,Canada,Question 15,option a
System Administrator,Canada,Question 16,option a
System Administrator,Canada,Question 17,option a
System Administrator,Canada,Question 18,option a
System Administrator,Canada,Question 19,option a
System Administrator,Canada,Question 20,option a
System Administrator,Spain,Question 1,option a
System Administrator,Spain,Question 2,option b
System Administrator,Spain,Question 3,option a
System Administrator,Spain,Question 4,option b
System Administrator,Spain,Question 5,option a
System Administrator,Spain,Question 6,option b
System Administrator,Spain,Question 7,option a
System Administrator,Spain,Question 8,option b
System Administrator,Spain,Question 9,option a
System Administrator,Spain,Question 10,option b
System Administrator,Spain,Question 11,option a
System Administrator,Spain,Question 12,option b
System Administrator,Spain,Question 13,option a
System Administrator,Spain,Question 14,option b
System Administrator,Spain,Question 15,option a
System Administrator,Spain,Question 16,option b
System Administrator,Spain,Question 17,option a
System Administrator,Spain,Question 18,option b
System Administrator,Spain,Question 19,option a
System Administrator,Spain,Question 20,option b
System Administrator,Argentina,Question 1,option a
System Administrator,Argentina,Question 2,option b
System Administrator,Argentina,Question 3,option a
System Administrator,Argentina,Question 4,option b
System Administrator,Argentina,Question 5,option a
System Administrator,Argentina,Question 6,option b
System Administrator,Argentina,Question 7,option a
System Administrator,Argentina,Question 8,option b
System Administrator,Argentina,Question 9,option a
System Administrator,Argentina,Question 10,option b
System Administrator,Argentina,Question 11,option a
System Administrator,Argentina,Question 12,option b
System Administrator,Argentina,Question 13,option a
System Administrator,Argentina,Question 14,option b
System Administrator,Argentina,Question 15,option a
System Administrator,Argentina,Question 16,option b
System Administrator,Argentina,Question 17,option a
System Administrator,Argentina,Question 18,option b
System Administrator,Argentina,Question 19,option a
System Administrator,Argentina,Question 20,option b
System Administrator,Germany,Question 1,option a
System Administrator,Germany,Question 2,option a
System Administrator,Germany,Question 3,option b
System Administrator,Germany,Question 4,option b
System Administrator,Germany,Question 5,option a
System Administrator,Germany,Question 6,option b
System Administrator,Germany,Question 7,option b
System Administrator,Germany,Question 8,option a
System Administrator,Germany,Question 9,option b
System Administrator,Germany,Question 10,option a
System Administrator,Germany,Question 11,option a
System Administrator,Germany,Question 12,option b
System Administrator,Germany,Question 13,option b
System Administrator,Germany,Question 14,option a
System Administrator,Germany,Question 15,option b
System Administrator,Germany,Question 16,option b
System Administrator,Germany,Question 17,option a
System Administrator,Germany,Question 18,option b
System Administrator,Germany,Question 19,option a
System Administrator,Germany,Question 20,option b
System Administrator,Malta,Question 1,option a
System Administrator,Malta,Question 2,option a
System Administrator,Malta,Question 3,option a
System Administrator,Malta,Question 4,option a
System Administrator,Malta,Question 5,option a
System Administrator,Malta,Question 6,option a
System Administrator,Malta,Question 7,option a
System Administrator,Malta,Question 8,option a
System Administrator,Malta,Question 9,option a
System Administrator,Malta,Question 10,option a
System Administrator,Malta,Question 11,option a
System Administrator,Malta,Question 12,option a
System Administrator,Malta,Question 13,option a
System Administrator,Malta,Question 14,option a
System Administrator,Malta,Question 15,option a
System Administrator,Malta,Question 16,option a
System Administrator,Malta,Question 17,option a
System Administrator,Malta,Question 18,option a
System Administrator,Malta,Question 19,option a
System Administrator,Malta,Question 20,option a
System Administrator,United Kingdom,Question 1,option a
System Administrator,United Kingdom,Question 2,option b
System Administrator,United Kingdom,Question 3,option b
System Administrator,United Kingdom,Question 4,option a
System Administrator,United Kingdom,Question 5,option b
System Administrator,United Kingdom,Question 6,option b
System Administrator,United Kingdom,Question 7,option b
System Administrator,United Kingdom,Question 8,option b
System Administrator,United Kingdom,Question 9,option b
System Administrator,United Kingdom,Question 10,option b
System Administrator,United Kingdom,Question 11,option b
System Administrator,United Kingdom,Question 12,option a
System Administrator,United Kingdom,Question 13,option b
System Administrator,United Kingdom,Question 14,option b
System Administrator,United Kingdom,Question 15,option b
System Administrator,United Kingdom,Question 16,option b
System Administrator,United Kingdom,Question 17,option b
System Administrator,United Kingdom,Question 18,option b
System Administrator,United Kingdom,Question 19,option b
System Administrator,United Kingdom,Question 20,option b
Sales Representative,Macedonia,Question 1,option a
Sales Representative,Macedonia,Question 2,option a
Sales Representative,Macedonia,Question 3,option b
Sales Representative,Macedonia,Question 4,option b
Sales Representative,Macedonia,Question 5,option a
Sales Representative,Macedonia,Question 6,option b
Sales Representative,Macedonia,Question 7,option b
Sales Representative,Macedonia,Question 8,option b
Sales Representative,Macedonia,Question 9,option b
Sales Representative,Macedonia,Question 10,option b
Sales Representative,Macedonia,Question 11,option a
Sales Representative,Macedonia,Question 12,option b
Sales Representative,Macedonia,Question 13,option b
Sales Representative,Macedonia,Question 14,option b
Sales Representative,Macedonia,Question 15,option b
Sales Representative,Macedonia,Question 16,option b
Sales Representative,Macedonia,Question 17,option a
Sales Representative,Macedonia,Question 18,option a
Sales Representative,Macedonia,Question 19,option a
Sales Representative,Macedonia,Question 20,option b
Sales Representative,Canada,Question 1,option a
Sales Representative,Canada,Question 2,option a
Sales Representative,Canada,Question 3,option b
Sales Representative,Canada,Question 4,option b
Sales Representative,Canada,Question 5,option a
Sales Representative,Canada,Question 6,option b
Sales Representative,Canada,Question 7,option b
Sales Representative,Canada,Question 8,option a
Sales Representative,Canada,Question 9,option b
Sales Representative,Canada,Question 10,option b
Sales Representative,Canada,Question 11,option a
Sales Representative,Canada,Question 12,option b
Sales Representative,Canada,Question 13,option b
Sales Representative,Canada,Question 14,option b
Sales Representative,Canada,Question 15,option a
Sales Representative,Canada,Question 16,option b
Sales Representative,Canada,Question 17,option a
Sales Representative,Canada,Question 18,option a
Sales Representative,Canada,Question 19,option a
Sales Representative,Canada,Question 20,option b
Sales Representative,Spain,Question 1,option a
Sales Representative,Spain,Question 2,option b
Sales Representative,Spain,Question 3,option b
Sales Representative,Spain,Question 4,option a
Sales Representative,Spain,Question 5,option b
Sales Representative,Spain,Question 6,option b
Sales Representative,Spain,Question 7,option b
Sales Representative,Spain,Question 8,option b
Sales Representative,Spain,Question 9,option b
Sales Representative,Spain,Question 10,option b
Sales Representative,Spain,Question 11,option b
Sales Representative,Spain,Question 12,option b
Sales Representative,Spain,Question 13,option b
Sales Representative,Spain,Question 14,option b
Sales Representative,Spain,Question 15,option b
Sales Representative,Spain,Question 16,option b
Sales Representative,Spain,Question 17,option b
Sales Representative,Spain,Question 18,option b
Sales Representative,Spain,Question 19,option b
Sales Representative,Spain,Question 20,option b
Sales Representative,Argentina,Question 1,option a
Sales Representative,Argentina,Question 2,option a
Sales Representative,Argentina,Question 3,option b
Sales Representative,Argentina,Question 4,option b
Sales Representative,Argentina,Question 5,option a
Sales Representative,Argentina,Question 6,option b
Sales Representative,Argentina,Question 7,option b
Sales Representative,Argentina,Question 8,option a
Sales Representative,Argentina,Question 9,option b
Sales Representative,Argentina,Question 10,option a
Sales Representative,Argentina,Question 11,option a
Sales Representative,Argentina,Question 12,option b
Sales Representative,Argentina,Question 13,option b
Sales Representative,Argentina,Question 14,option a
Sales Representative,Argentina,Question 15,option b
Sales Representative,Argentina,Question 16,option b
Sales Representative,Argentina,Question 17,option a
Sales Representative,Argentina,Question 18,option a
Sales Representative,Argentina,Question 19,option b
Sales Representative,Argentina,Question 20,option a
Sales Representative,Germany,Question 1,option a
Sales Representative,Germany,Question 2,option a
Sales Representative,Germany,Question 3,option b
Sales Representative,Germany,Question 4,option b
Sales Representative,Germany,Question 5,option a
Sales Representative,Germany,Question 6,option b
Sales Representative,Germany,Question 7,option b
Sales Representative,Germany,Question 8,option a
Sales Representative,Germany,Question 9,option b
Sales Representative,Germany,Question 10,option a
Sales Representative,Germany,Question 11,option a
Sales Representative,Germany,Question 12,option b
Sales Representative,Germany,Question 13,option b
Sales Representative,Germany,Question 14,option a
Sales Representative,Germany,Question 15,option b
Sales Representative,Germany,Question 16,option b
Sales Representative,Germany,Question 17,option a
Sales Representative,Germany,Question 18,option a
Sales Representative,Germany,Question 19,option a
Sales Representative,Germany,Question 20,option b
Sales Representative,Malta,Question 1,option a
Sales Representative,Malta,Question 2,option a
Sales Representative,Malta,Question 3,option b
Sales Representative,Malta,Question 4,option b
Sales Representative,Malta,Question 5,option a
Sales Representative,Malta,Question 6,option b
Sales Representative,Malta,Question 7,option b
Sales Representative,Malta,Question 8,option a
Sales Representative,Malta,Question 9,option b
Sales Representative,Malta,Question 10,option a
Sales Representative,Malta,Question 11,option a
Sales Representative,Malta,Question 12,option b
Sales Representative,Malta,Question 13,option b
Sales Representative,Malta,Question 14,option a
Sales Representative,Malta,Question 15,option b
Sales Representative,Malta,Question 16,option b
Sales Representative,Malta,Question 17,option a
Sales Representative,Malta,Question 18,option a
Sales Representative,Malta,Question 19,option a
Sales Representative,Malta,Question 20,option b
Sales Representative,United Kingdom,Question 1,option a
Sales Representative,United Kingdom,Question 2,option a
Sales Representative,United Kingdom,Question 3,option b
Sales Representative,United Kingdom,Question 4,option b
Sales Representative,United Kingdom,Question 5,option a
Sales Representative,United Kingdom,Question 6,option b
Sales Representative,United Kingdom,Question 7,option b
Sales Representative,United Kingdom,Question 8,option a
Sales Representative,United Kingdom,Question 9,option b
Sales Representative,United Kingdom,Question 10,option a
Sales Representative,United Kingdom,Question 11,option a
Sales Representative,United Kingdom,Question 12,option b
Sales Representative,United Kingdom,Question 13,option b
Sales Representative,United Kingdom,Question 14,option a
Sales Representative,United Kingdom,Question 15,option b
Sales Representative,United Kingdom,Question 16,option b
Sales Representative,United Kingdom,Question 17,option a
Sales Representative,United Kingdom,Question 18,option a
Sales Representative,United Kingdom,Question 19,option a
Sales Representative,United Kingdom,Question 20,option b
Human Resources,Macedonia,Question 1,option a
Human Resources,Macedonia,Question 2,option a
Human Resources,Macedonia,Question 3,option a
Human Resources,Macedonia,Question 4,option a
Human Resources,Macedonia,Question 5,option a
Human Resources,Macedonia,Question 6,option a
Human Resources,Macedonia,Question 7,option a
Human Resources,Macedonia,Question 8,option a
Human Resources,Macedonia,Question 9,option a
Human Resources,Macedonia,Question 10,option a
Human Resources,Macedonia,Question 11,option a
Human Resources,Macedonia,Question 12,option a
Human Resources,Macedonia,Question 13,option a
Human Resources,Macedonia,Question 14,option a
Human Resources,Macedonia,Question 15,option a
Human Resources,Macedonia,Question 16,option a
Human Resources,Macedonia,Question 17,option a
Human Resources,Macedonia,Question 18,option a
Human Resources,Macedonia,Question 19,option a
Human Resources,Macedonia,Question 20,option a
Human Resources,Canada,Question 1,option a
Human Resources,Canada,Question 2,option a
Human Resources,Canada,Question 3,option b
Human Resources,Canada,Question 4,option b
Human Resources,Canada,Question 5,option a
Human Resources,Canada,Question 6,option b
Human Resources,Canada,Question 7,option b
Human Resources,Canada,Question 8,option a
Human Resources,Canada,Question 9,option b
Human Resources,Canada,Question 10,option b
Human Resources,Canada,Question 11,option a
Human Resources,Canada,Question 12,option a
Human Resources,Canada,Question 13,option b
Human Resources,Canada,Question 14,option b
Human Resources,Canada,Question 15,option a
Human Resources,Canada,Question 16,option b
Human Resources,Canada,Question 17,option a
Human Resources,Canada,Question 18,option a
Human Resources,Canada,Question 19,option a
Human Resources,Canada,Question 20,option b
Human Resources,Spain,Question 1,option a
Human Resources,Spain,Question 2,option a
Human Resources,Spain,Question 3,option b
Human Resources,Spain,Question 4,option b
Human Resources,Spain,Question 5,option a
Human Resources,Spain,Question 6,option b
Human Resources,Spain,Question 7,option b
Human Resources,Spain,Question 8,option a
Human Resources,Spain,Question 9,option b
Human Resources,Spain,Question 10,option a
Human Resources,Spain,Question 11,option a
Human Resources,Spain,Question 12,option a
Human Resources,Spain,Question 13,option b
Human Resources,Spain,Question 14,option b
Human Resources,Spain,Question 15,option a
Human Resources,Spain,Question 16,option b
Human Resources,Spain,Question 17,option a
Human Resources,Spain,Question 18,option b
Human Resources,Spain,Question 19,option a
Human Resources,Spain,Question 20,option b
Human Resources,Argentina,Question 1,option a
Human Resources,Argentina,Question 2,option a
Human Resources,Argentina,Question 3,option a
Human Resources,Argentina,Question 4,option a
Human Resources,Argentina,Question 5,option a
Human Resources,Argentina,Question 6,option a
Human Resources,Argentina,Question 7,option a
Human Resources,Argentina,Question 8,option a
Human Resources,Argentina,Question 9,option a
Human Resources,Argentina,Question 10,option a
Human Resources,Argentina,Question 11,option a
Human Resources,Argentina,Question 12,option a
Human Resources,Argentina,Question 13,option a
Human Resources,Argentina,Question 14,option a
Human Resources,Argentina,Question 15,option a
Human Resources,Argentina,Question 16,option a
Human Resources,Argentina,Question 17,option a
Human Resources,Argentina,Question 18,option a
Human Resources,Argentina,Question 19,option a
Human Resources,Argentina,Question 20,option a
Human Resources,Germany,Question 1,option a
Human Resources,Germany,Question 2,option a
Human Resources,Germany,Question 3,option b
Human Resources,Germany,Question 4,option b
Human Resources,Germany,Question 5,option a
Human Resources,Germany,Question 6,option b
Human Resources,Germany,Question 7,option b
Human Resources,Germany,Question 8,option a
Human Resources,Germany,Question 9,option b
Human Resources,Germany,Question 10,option b
Human Resources,Germany,Question 11,option a
Human Resources,Germany,Question 12,option a
Human Resources,Germany,Question 13,option b
Human Resources,Germany,Question 14,option b
Human Resources,Germany,Question 15,option a
Human Resources,Germany,Question 16,option b
Human Resources,Germany,Question 17,option a
Human Resources,Germany,Question 18,option b
Human Resources,Germany,Question 19,option a
Human Resources,Germany,Question 20,option b
Human Resources,Malta,Question 1,option a
Human Resources,Malta,Question 2,option a
Human Resources,Malta,Question 3,option b
Human Resources,Malta,Question 4,option b
Human Resources,Malta,Question 5,option a
Human Resources,Malta,Question 6,option b
Human Resources,Malta,Question 7,option b
Human Resources,Malta,Question 8,option a
Human Resources,Malta,Question 9,option b
Human Resources,Malta,Question 10,option b
Human Resources,Malta,Question 11,option a
Human Resources,Malta,Question 12,option a
Human Resources,Malta,Question 13,option b
Human Resources,Malta,Question 14,option b
Human Resources,Malta,Question 15,option a
Human Resources,Malta,Question 16,option b
Human Resources,Malta,Question 17,option a
Human Resources,Malta,Question 18,option a
Human Resources,Malta,Question 19,option a
Human Resources,Malta,Question 20,option b
Human Resources,United Kingdom,Question 1,option a
Human Resources,United Kingdom,Question 2,option a
Human Resources,United Kingdom,Question 3,option b
Human Resources,United Kingdom,Question 4,option b
Human Resources,United Kingdom,Question 5,option a
Human Resources,United Kingdom,Question 6,option b
Human Resources,United Kingdom,Question 7,option b
Human Resources,United Kingdom,Question 8,option b
Human Resources,United Kingdom,Question 9,option b
