WorkPosition,Country,Question,Option
Project Manager,Spain,"Question 13,",option d
Project Manager,Spain,"Question 14,",option d
Project Manager,Spain,"Question 15,",option d
Project Manager,Spain,"Question 16,",option d
Project Manager,Spain,"Question 17,",option d
Project Manager,Spain,"Question 18,",option d
Project Manager,Argentina,"Question 1,",option d
Project Manager,Argentina,"Question 2,",option d
Project Manager,Argentina,"Question 3,",option d
Project Manager,Argentina,"Question 4,",option d
Project Manager,Argentina,"Question 5,",option d
Project Manager,Argentina,"Question 6,",option d
Project Manager,Argentina,"Question 7,",option d
Project Manager,Argentina,"Question 8,",option d
Project Manager,Argentina,"Question 9,",option d
Project Manager,Argentina,"Question 10,",option c
Project Manager,Argentina,"Question 11,",option d
Project Manager,Argentina,"Question 12,",option d
Project Manager,Argentina,"Question 13,",option d
Project Manager,Argentina,"Question 14,",option d
Project Manager,Argentina,"Question 15,",option d
Project Manager,Argentina,"Question 16,",option d
Project Manager,Argentina,"Question 17,",option d
Project Manager,Argentina,"Question 18,",option d
Project Manager,Germany,"Question 1,",option d
Project Manager,Germany,"Question 2,",option d
Project Manager,Germany,"Question 3,",option d
Project Manager,Germany,"Question 4,",option d
Project Manager,Germany,"Question 5,",option d
Project Manager,Germany,"Question 6,",option d
Project Manager,Germany,"Question 7,",option d
Project Manager,Germany,"Question 8,",option d
Project Manager,Germany,"Question 9,",option d
Project Manager,Germany,"Question 10,",option c
Project Manager,Germany,"Question 11,",option d
Project Manager,Germany,"Question 12,",option d
Project Manager,Germany,"Question 13,",option d
Project Manager,Germany,"Question 14,",option d
Project Manager,Germany,"Question 15,",option d
Project Manager,Germany,"Question 16,",option d
Project Manager,Germany,"Question 17,",option d
Project Manager,Germany,"Question 18,",option d
Project Manager,Malta,"Question 1,",option e
Project Manager,Malta,"Question 2,",option d
Project Manager,Malta,"Question 3,",option d
Project Manager,Malta,"Question 4,",option d
Project Manager,Malta,"Question 5,",option d
Project Manager,Malta,"Question 6,",option d
Project Manager,Malta,"Question 7,",option d
Project Manager,Malta,"Question 8,",option d
Project Manager,Malta,"Question 9,",option d
Project Manager,Malta,"Question 10,",option d
Project Manager,Malta,"Question 11,",option d
Project Manager,Malta,"Question 12,",option d
Project Manager,Malta,"Question 13,",option d
Project Manager,Malta,"Question 14,",option d
Project Manager,Malta,"Question 15,",option d
Project Manager,Malta,"Question 16,",option d
Project Manager,Malta,"Question 17,",option d
Project Manager,Malta,"Question 18,",option d
Project Manager,United Kingdom,"Question 1,",option e
Project Manager,United Kingdom,"Question 2,",option d
Project Manager,United Kingdom,"Question 3,",option d
Project Manager,United Kingdom,"Question 4,",option d
Project Manager,United Kingdom,"Question 5,",option d
Project Manager,United Kingdom,"Question 6,",option d
Project Manager,United Kingdom,"Question 7,",option d
Project Manager,United Kingdom,"Question 8,",option d
Project Manager,United Kingdom,"Question 9,",option d
Project Manager,United Kingdom,"Question 10,",option d
Project Manager,United Kingdom,"Question 11,",option d
Project Manager,United Kingdom,"Question 12,",option d
Project Manager,United Kingdom,"Question 13,",option d
Project Manager,United Kingdom,"Question 14,",option d
Project Manager,United Kingdom,"Question 15,",option d
Project Manager,United Kingdom,"Question 16,",option d
Project Manager,United Kingdom,"Question 17,",option d
Project Manager,United Kingdom,"Question 18,",option d
Software Engineer,North Macedonia,"Question 1,",option d
Software Engineer,North Macedonia,"Question 2,",option d
Software Engineer,North Macedonia,"Question 3,",option d
Software Engineer,North Macedonia,"Question 4,",option d
Software Engineer,North Macedonia,"Question 5,",option d
Software Engineer,North Macedonia,"Question 6,",option d
Software Engineer,North Macedonia,"Question 7,",option d
Software Engineer,North Macedonia,"Question 8,",option d
Software Engineer,North Macedonia,"Question 9,",option d
Software Engineer,North Macedonia,"Question 10,",option c
Software Engineer,North Macedonia,"Question 11,",option d
Software Engineer,North Macedonia,"Question 12,",option d
Software Engineer,North Macedonia,"Question 13,",option d
Software Engineer,North Macedonia,"Question 14,",option d
Software Engineer,North Macedonia,"Question 15,",option d
Software Engineer,North Macedonia,"Question 16,",option d
Software Engineer,North Macedonia,"Question 17,",option d
Software Engineer,North Macedonia,"Question 18,",option d
Software Engineer,Canada,"Question 1,",option d
Software Engineer,Canada,"Question 2,",option d
Software Engineer,Canada,"Question 3,",option d
Software Engineer,Canada,"Question 4,",option d
Software Engineer,Canada,"Question 5,",option d
Software Engineer,Canada,"Question 6,",option d
Software Engineer,Canada,"Question 7,",option d
Software Engineer,Canada,"Question 8,",option d
Software Engineer,Canada,"Question 9,",option d
Software Engineer,Canada,"Question 10,",option c
Software Engineer,Canada,"Question 11,",option d
Software Engineer,Canada,"Question 12,",option d
Software Engineer,Canada,"Question 13,",option d
Software Engineer,Canada,"Question 14,",option d
Software Engineer,Canada,"Question 15,",option d
Software Engineer,Canada,"Question 16,",option d
Software Engineer,Canada,"Question 17,",option d
Software Engineer,Canada,"Question 18,",option d
Software Engineer,Spain,"Question 1,",option d
Software Engineer,Spain,"Question 2,",option d
Software Engineer,Spain,"Question 3,",option d
Software Engineer,Spain,"Question 4,",option d
Software Engineer,Spain,"Question 5,",option d
Software Engineer,Spain,"Question 6,",option d
Software Engineer,Spain,"Question 7,",option d
Software Engineer,Spain,"Question 8,",option d
Software Engineer,Spain,"Question 9,",option d
Software Engineer,Spain,"Question 10,",option c
Software Engineer,Spain,"Question 11,",option d
Software Engineer,Spain,"Question 12,",option d
Software Engineer,Spain,"Question 13,",option d
Software Engineer,Spain,"Question 14,",option d
Software Engineer,Spain,"Question 15,",option d
Software Engineer,Spain,"Question 16,",option d
Software Engineer,Spain,"Question 17,",option d
Software Engineer,Spain,"Question 18,",option d
Software Engineer,Argentina,"Question 1,",option d
Software Engineer,Argentina,"Question 2,",option d
Software Engineer,Argentina,"Question 3,",option d
Software Engineer,Argentina,"Question 4,",option d
Software Engineer,Argentina,"Question 5,",option d
Software Engineer,Argentina,"Question 6,",option d
Software Engineer,Argentina,"Question 7,",option d
Software Engineer,Argentina,"Question 8,",option d
Software Engineer,Argentina,"Question 9,",option d
Software Engineer,Argentina,"Question 10,",option c
Software Engineer,Argentina,"Question 11,",option d
Software Engineer,Argentina,"Question 12,",option d
Software Engineer,Argentina,"Question 13,",option d
Software Engineer,Argentina,"Question 14,",option d
Software Engineer,Argentina,"Question 15,",option d
Software Engineer,Argentina,"Question 16,",option d
Software Engineer,Argentina,"Question 17,",option d
Software Engineer,Argentina,"Question 18,",option d
Software Engineer,Germany,"Question 1,",option d
Software Engineer,Germany,"Question 2,",option d
Software Engineer,Germany,"Question 3,",option d
Software Engineer,Germany,"Question 4,",option d
Software Engineer,Germany,"Question 5,",option d
Software Engineer,Germany,"Question 6,",option d
Software Engineer,Germany,"Question 7,",option d
Software Engineer,Germany,"Question 8,",option d
Software Engineer,Germany,"Question 9,",option d
Software Engineer,Germany,"Question 10,",option c
Software Engineer,Germany,"Question 11,",option d
Software Engineer,Germany,"Question 12,",option d
Software Engineer,Germany,"Question 13,",option d
Software Engineer,Germany,"Question 14,",option d
Software Engineer,Germany,"Question 15,",option d
Software Engineer,Germany,"Question 16,",option d
Software Engineer,Germany,"Question 17,",option d
Software Engineer,Germany,"Question 18,",option d
Software Engineer,Malta,"Question 1,",option d
Software Engineer,Malta,"Question 2,",option d
Software Engineer,Malta,"Question 3,",option d
Software Engineer,Malta,"Question 4,",option d
Software Engineer,Malta,"Question 5,",option d
Software Engineer,Malta,"Question 6,",option d
Software Engineer,Malta,"Question 7,",option d
Software Engineer,Malta,"Question 8,",option d
Software Engineer,Malta,"Question 9,",option d
Software Engineer,Malta,"Question 10,",option c
Software Engineer,Malta,"Question 11,",option d
Software Engineer,Malta,"Question 12,",option d
Software Engineer,Malta,"Question 13,",option d
Software Engineer,Malta,"Question 14,",option d
Software Engineer,Malta,"Question 15,",option d
Software Engineer,Malta,"Question 16,",option d
Software Engineer,Malta,"Question 17,",option d
Software Engineer,Malta,"Question 18,",option d
Software Engineer,United Kingdom,"Question 1,",option d
Software Engineer,United Kingdom,"Question 2,",option d
Software Engineer,United Kingdom,"Question 3,",option d
Software Engineer,United Kingdom,"Question 4,",option d
Software Engineer,United Kingdom,"Question 5,",option d
Software Engineer,United Kingdom,"Question 6,",option d
Software Engineer,United Kingdom,"Question 7,",option d
Software Engineer,United Kingdom,"Question 8,",option d
Software Engineer,United Kingdom,"Question 9,",option d
Software Engineer,United Kingdom,"Question 10,",option c
Software Engineer,United Kingdom,"Question 11,",option d
Software Engineer,United Kingdom,"Question 12,",option d
Software Engineer,United Kingdom,"Question 13,",option d
Software Engineer,United Kingdom,"Question 14,",option d
Software Engineer,United Kingdom,"Question 15,",option d
Software Engineer,United Kingdom,"Question 16,",option d
Software Engineer,United Kingdom,"Question 17,",option d
Software Engineer,United Kingdom,"Question 18,",option d
System Administrator,North Macedonia,"Question 1,",option d
System Administrator,North Macedonia,"Question 2,",option d
System Administrator,North Macedonia,"Question 3,",option d
System Administrator,North Macedonia,"Question 4,",option c
System Administrator,North Macedonia,"Question 5,",option d
System Administrator,North Macedonia,"Question 6,",option c
System Administrator,North Macedonia,"Question 7,",option c
System Administrator,North Macedonia,"Question 8,",option d
System Administrator,North Macedonia,"Question 9,",option d
System Administrator,North Macedonia,"Question 10,",option c
System Administrator,North Macedonia,"Question 11,",option d
System Administrator,North Macedonia,"Question 12,",option d
System Administrator,North Macedonia,"Question 13,",option c
System Administrator,North Macedonia,"Question 14,",option d
System Administrator,North Macedonia,"Question 15,",option d
System Administrator,North Macedonia,"Question 16,",option c
System Administrator,North Macedonia,"Question 17,",option d
System Administrator,North Macedonia,"Question 18,",option d
System Administrator,Canada,"Question 1,",option d
System Administrator,Canada,"Question 2,",option d
System Administrator,Canada,"Question 3,",option d
System Administrator,Canada,"Question 4,",option c
System Administrator,Canada,"Question 5,",option d
System Administrator,Canada,"Question 6,",option c
System Administrator,Canada,"Question 7,",option c
System Administrator,Canada,"Question 8,",option d
System Administrator,Canada,"Question 9,",option d
System Administrator,Canada,"Question 10,",option c
System Administrator,Canada,"Question 11,",option d
System Administrator,Canada,"Question 12,",option d
System Administrator,Canada,"Question 13,",option c
System Administrator,Canada,"Question 14,",option d
System Administrator,Canada,"Question 15,",option d
System Administrator,Canada,"Question 16,",option c
System Administrator,Canada,"Question 17,",option d
System Administrator,Canada,"Question 18,",option d
System Administrator,Spain,"Question 1,",option d
System Administrator,Spain,"Question 2,",option d
System Administrator,Spain,"Question 3,",option d
System Administrator,Spain,"Question 4,",option c
System Administrator,Spain,"Question 5,",option d
System Administrator,Spain,"Question 6,",option c
System Administrator,Spain,"Question 7,",option c
System Administrator,Spain,"Question 8,",option d
System Administrator,Spain,"Question 9,",option d
System Administrator,Spain,"Question 10,",option c
System Administrator,Spain,"Question 11,",option d
System Administrator,Spain,"Question 12,",option d
System Administrator,Spain,"Question 13,",option c
System Administrator,Spain,"Question 14,",option d
System Administrator,Spain,"Question 15,",option d
System Administrator,Spain,"Question 16,",option c
System Administrator,Spain,"Question 17,",option d
System Administrator,Spain,"Question 18,",option d
System Administrator,Argentina,"Question 1,",option d
System Administrator,Argentina,"Question 2,",option d
System Administrator,Argentina,"Question 3,",option d
System Administrator,Argentina,"Question 4,",option c
System Administrator,Argentina,"Question 5,",option d
System Administrator,Argentina,"Question 6,",option c
System Administrator,Argentina,"Question 7,",option c
System Administrator,Argentina,"Question 8,",option d
System Administrator,Argentina,"Question 9,",option d
System Administrator,Argentina,"Question 10,",option c
System Administrator,Argentina,"Question 11,",option d
System Administrator,Argentina,"Question 12,",option d
System Administrator,Argentina,"Question 13,",option c
System Administrator,Argentina,"Question 14,",option d
System Administrator,Argentina,"Question 15,",option d
System Administrator,Argentina,"Question 16,",option c
System Administrator,Argentina,"Question 17,",option d
System Administrator,Argentina,"Question 18,",option d
System Administrator,Germany,"Question 1,",option d
System Administrator,Germany,"Question 2,",option d
System Administrator,Germany,"Question 3,",option d
System Administrator,Germany,"Question 4,",option c
System Administrator,Germany,"Question 5,",option d
System Administrator,Germany,"Question 6,",option c
System Administrator,Germany,"Question 7,",option c
System Administrator,Germany,"Question 8,",option d
System Administrator,Germany,"Question 9,",option d
System Administrator,Germany,"Question 10,",option c
System Administrator,Germany,"Question 11,",option d
System Administrator,Germany,"Question 12,",option d
System Administrator,Germany,"Question 13,",option c
System Administrator,Germany,"Question 14,",option d
System Administrator,Germany,"Question 15,",option d
System Administrator,Germany,"Question 16,",option c
System Administrator,Germany,"Question 17,",option d
System Administrator,Germany,"Question 18,",option d
System Administrator,Malta,"Question 1,",option d
System Administrator,Malta,"Question 2,",option d
System Administrator,Malta,"Question 3,",option d
System Administrator,Malta,"Question 4,",option c
System Administrator,Malta,"Question 5,",option d
System Administrator,Malta,"Question 6,",option c
System Administrator,Malta,"Question 7,",option c
System Administrator,Malta,"Question 8,",option d
System Administrator,Malta,"Question 9,",option d
System Administrator,Malta,"Question 10,",option c
System Administrator,Malta,"Question 11,",option d
System Administrator,Malta,"Question 12,",option d
System Administrator,Malta,"Question 13,",option d
System Administrator,Malta,"Question 14,",option d
System Administrator,Malta,"Question 15,",option d
System Administrator,Malta,"Question 16,",option c
System Administrator,Malta,"Question 17,",option d
System Administrator,Malta,"Question 18,",option d
System Administrator,United Kingdom,"Question 1,",option d
System Administrator,United Kingdom,"Question 2,",option d
System Administrator,United Kingdom,"Question 3,",option d
System Administrator,United Kingdom,"Question 4,",option c
System Administrator,United Kingdom,"Question 5,",option d
System Administrator,United Kingdom,"Question 6,",option c
System Administrator,United Kingdom,"Question 7,",option c
System Administrator,United Kingdom,"Question 8,",option d
System Administrator,United Kingdom,"Question 9,",option d
System Administrator,United Kingdom,"Question 10,",option c
System Administrator,United Kingdom,"Question 11,",option d
System Administrator,United Kingdom,"Question 12,",option d
System Administrator,United Kingdom,"Question 13,",option c
System Administrator,United Kingdom,"Question 14,",option d
System Administrator,United Kingdom,"Question 15,",option d
System Administrator,United Kingdom,"Question 16,",option c
System Administrator,United Kingdom,"Question 17,",option d
System Administrator,United Kingdom,"Question 18,",option d
Sales Representative,North Macedonia,"Question 1,",option e
Sales Representative,North Macedonia,"Question 2,",option d
Sales Representative,North Macedonia,"Question 3,",option d
Sales Representative,North Macedonia,"Question 4,",option c
Sales Representative,North Macedonia,"Question 5,",option d
Sales Representative,North Macedonia,"Question 6,",option c
Sales Representative,North Macedonia,"Question 7,",option b
Sales Representative,North Macedonia,"Question 8,",option d
Sales Representative,North Macedonia,"Question 9,",option c
Sales Representative,North Macedonia,"Question 10,",option c
Sales Representative,North Macedonia,"Question 11,",option d
Sales Representative,North Macedonia,"Question 12,",option c
Sales Representative,North Macedonia,"Question 13,",option c
Sales Representative,North Macedonia,"Question 14,",option d
Sales Representative,North Macedonia,"Question 15,",option d
Sales Representative,North Macedonia,"Question 16,",option c
Sales Representative,North Macedonia,"Question 17,",option d
Sales Representative,North Macedonia,"Question 18,",option d
Sales Representative,Canada,"Question 1,",option e
Sales Representative,Canada,"Question 2,",option d
Sales Representative,Canada,"Question 3,",option d
Sales Representative,Canada,"Question 4,",option c
Sales Representative,Canada,"Question 5,",option d
Sales Representative,Canada,"Question 6,",option c
Sales Representative,Canada,"Question 7,",option c
Sales Representative,Canada,"Question 8,",option d
Sales Representative,Canada,"Question 9,",option c
Sales Representative,Canada,"Question 10,",option b
Sales Representative,Canada,"Question 11,",option d
Sales Representative,Canada,"Question 12,",option c
Sales Representative,Canada,"Question 13,",option c
Sales Representative,Canada,"Question 14,",option d
Sales Representative,Canada,"Question 15,",option d
Sales Representative,Canada,"Question 16,",option c
Sales Representative,Canada,"Question 17,",option d
Sales Representative,Canada,"Question 18,",option d
Sales Representative,Spain,"Question 1,",option e
Sales Representative,Spain,"Question 2,",option d
Sales Representative,Spain,"Question 3,",option d
Sales Representative,Spain,"Question 4,",option c
Sales Representative,Spain,"Question 5,",option d
Sales Representative,Spain,"Question 6,",option c
Sales Representative,Spain,"Question 7,",option b
Sales Representative,Spain,"Question 8,",option c
Sales Representative,Spain,"Question 9,",option c
Sales Representative,Spain,"Question 10,",option b
Sales Representative,Spain,"Question 11,",option c
Sales Representative,Spain,"Question 12,",option c
Sales Representative,Spain,"Question 13,",option c
Sales Representative,Spain,"Question 14,",option c
Sales Representative,Spain,"Question 15,",option d
Sales Representative,Spain,"Question 16,",option b
Sales Representative,Spain,"Question 17,",option c
Sales Representative,Spain,"Question 18,",option d
Sales Representative,Argentina,"Question 1,",option d
Sales Representative,Argentina,"Question 2,",option d
Sales Representative,Argentina,"Question 3,",option d
Sales Representative,Argentina,"Question 4,",option c
Sales Representative,Argentina,"Question 5,",option d
Sales Representative,Argentina,"Question 6,",option c
Sales Representative,Argentina,"Question 7,",option d
Sales Representative,Argentina,"Question 8,",option d
Sales Representative,Argentina,"Question 9,",option c
Sales Representative,Argentina,"Question 10,",option b
Sales Representative,Argentina,"Question 11,",option d
Sales Representative,Argentina,"Question 12,",option c
Sales Representative,Argentina,"Question 13,",option d
Sales Representative,Argentina,"Question 14,",option d
Sales Representative,Argentina,"Question 15,",option d
Sales Representative,Argentina,"Question 16,",option c
Sales Representative,Argentina,"Question 17,",option d
Sales Representative,Argentina,"Question 18,",option c
Sales Representative,Germany,Question 1,option e
Sales Representative,Germany,Question 2,option e
Sales Representative,Germany,Question 3,option d
Sales Representative,Germany,Question 4,option d
Sales Representative,Germany,Question 5,option d
Sales Representative,Germany,Question 6,option c
Sales Representative,Germany,Question 7,option c
Sales Representative,Germany,Question 8,option d
Sales Representative,Germany,Question 9,option c
Sales Representative,Germany,Question 10,option c
Sales Representative,Germany,Question 11,option d
Sales Representative,Germany,Question 12,option d
Sales Representative,Germany,Question 13,option c
Sales Representative,Germany,Question 14,option d
Sales Representative,Germany,Question 15,option d
Sales Representative,Germany,Question 16,option c
Sales Representative,Germany,Question 17,option c
Sales Representative,Germany,Question 18,option d
Sales Representative,Malta,"Question 1,",option e
Sales Representative,Malta,"Question 2,",option d
Sales Representative,Malta,"Question 3,",option d
Sales Representative,Malta,"Question 4,",option c
Sales Representative,Malta,"Question 5,",option d
Sales Representative,Malta,"Question 6,",option c
Sales Representative,Malta,"Question 7,",option b
Sales Representative,Malta,"Question 8,",option d
Sales Representative,Malta,"Question 9,",option c
Sales Representative,Malta,"Question 10,",option b
Sales Representative,Malta,"Question 11,",option d
Sales Representative,Malta,"Question 12,",option c
Sales Representative,Malta,"Question 13,",option c
Sales Representative,Malta,"Question 14,",option d
Sales Representative,Malta,"Question 15,",option c
Sales Representative,Malta,"Question 16,",option b
Sales Representative,Malta,"Question 17,",option d
Sales Representative,Malta,"Question 18,",option c
Sales Representative,United Kingdom,"Question 1,",option d
Sales Representative,United Kingdom,"Question 2,",option d
Sales Representative,United Kingdom,"Question 3,",option d
Sales Representative,United Kingdom,"Question 4,",option d
Sales Representative,United Kingdom,"Question 5,",option d
Sales Representative,United Kingdom,"Question 6,",option c
Sales Representative,United Kingdom,"Question 7,",option c
Sales Representative,United Kingdom,"Question 8,",option d
Sales Representative,United Kingdom,"Question 9,",option d
Sales Representative,United Kingdom,"Question 10,",option c
Sales Representative,United Kingdom,"Question 11,",option d
Sales Representative,United Kingdom,"Question 12,",option d
Sales Representative,United Kingdom,"Question 13,",option d
Sales Representative,United Kingdom,"Question 14,",option d
Sales Representative,United Kingdom,"Question 15,",option d
Sales Representative,United Kingdom,"Question 16,",option d
Sales Representative,United Kingdom,"Question 17,",option d
Sales Representative,United Kingdom,"Question 18,",option d
Human Resources,North Macedonia,"Question 1,",option e
Human Resources,North Macedonia,"Question 2,",option d
Human Resources,North Macedonia,"Question 3,",option d
Human Resources,North Macedonia,"Question 4,",option c
Human Resources,North Macedonia,"Question 5,",option d
Human Resources,North Macedonia,"Question 6,",option d
Human Resources,North Macedonia,"Question 7,",option c
Human Resources,North Macedonia,"Question 8,",option d
Human Resources,North Macedonia,"Question 9,",option d
Human Resources,North Macedonia,"Question 10,",option c
Human Resources,North Macedonia,"Question 11,",option d
Human Resources,North Macedonia,"Question 12,",option d
Human Resources,North Macedonia,"Question 13,",option c
Human Resources,North Macedonia,"Question 14,",option d
Human Resources,North Macedonia,"Question 15,",option d
Human Resources,North Macedonia,"Question 16,",option c
Human Resources,North Macedonia,"Question 17,",option d
Human Resources,North Macedonia,"Question 18,",option d
Human Resources,Canada,"Question 1,",option d
Human Resources,Canada,"Question 2,",option d
Human Resources,Canada,"Question 3,",option d
Human Resources,Canada,"Question 4,",option c
Human Resources,Canada,"Question 5,",option d
Human Resources,Canada,"Question 6,",option c
Human Resources,Canada,"Question 7,",option c
Human Resources,Canada,"Question 8,",option d
Human Resources,Canada,"Question 9,",option d
Human Resources,Canada,"Question 10,",option c
Human Resources,Canada,"Question 11,",option d
Human Resources,Canada,"Question 12,",option d
Human Resources,Canada,"Question 13,",option d
Human Resources,Canada,"Question 14,",option d
Human Resources,Canada,"Question 15,",option d
Human Resources,Canada,"Question 16,",option d
Human Resources,Canada,"Question 17,",option d
Human Resources,Canada,"Question 18,",option d
Human Resources,Spain,"Question 1,",option e
Human Resources,Spain,"Question 2,",option d
Human Resources,Spain,"Question 3,",option d
Human Resources,Spain,"Question 4,",option c
Human Resources,Spain,"Question 5,",option d
Human Resources,Spain,"Question 6,",option c
Human Resources,Spain,"Question 7,",option c
Human Resources,Spain,"Question 8,",option d
Human Resources,Spain,"Question 9,",option d
Human Resources,Spain,"Question 10,",option c
Human Resources,Spain,"Question 11,",option d
Human Resources,Spain,"Question 12,",option d
Human Resources,Spain,"Question 13,",option d
Human Resources,Spain,"Question 14,",option d
Human Resources,Spain,"Question 15,",option d
Human Resources,Spain,"Question 16,",option d
Human Resources,Spain,"Question 17,",option d
Human Resources,Spain,"Question 18,",option d
Human Resources,Argentina,"Question 1,",option d
Human Resources,Argentina,"Question 2,",option d
Human Resources,Argentina,"Question 3,",option d
Human Resources,Argentina,"Question 4,",option c
Human Resources,Argentina,"Question 5,",option d
Human Resources,Argentina,"Question 6,",option c
Human Resources,Argentina,"Question 7,",option b
Human Resources,Argentina,"Question 8,",option d
Human Resources,Argentina,"Question 9,",option d
Human Resources,Argentina,"Question 10,",option c
Human Resources,Argentina,"Question 11,",option d
Human Resources,Argentina,"Question 12,",option d
Human Resources,Argentina,"Question 13,",option c
Human Resources,Argentina,"Question 14,",option d
Human Resources,Argentina,"Question 15,",option d
Human Resources,Argentina,"Question 16,",option c
Human Resources,Argentina,"Question 17,",option d
Human Resources,Argentina,"Question 18,",option d
Human Resources,Germany,"Question 1,",option d
Human Resources,Germany,"Question 2,",option d
Human Resources,Germany,"Question 3,",option d
Human Resources,Germany,"Question 4,",option c
Human Resources,Germany,"Question 5,",option d
Human Resources,Germany,"Question 6,",option c
Human Resources,Germany,"Question 7,",option c
Human Resources,Germany,"Question 8,",option d
Human Resources,Germany,"Question 9,",option d
Human Resources,Germany,"Question 10,",option c
Human Resources,Germany,"Question 11,",option d
Human Resources,Germany,"Question 12,",option d
Human Resources,Germany,"Question 13,",option c
Human Resources,Germany,"Question 14,",option d
Human Resources,Germany,"Question 15,",option d
Human Resources,Germany,"Question 16,",option c
Human Resources,Germany,"Question 17,",option d
Human Resources,Germany,"Question 18,",option d
Human Resources,Malta,"Question 1,",option e
Human Resources,Malta,"Question 2,",option d
Human Resources,Malta,"Question 3,",option d
Human Resources,Malta,"Question 4,",option c
Human Resources,Malta,"Question 5,",option d
Human Resources,Malta,"Question 6,",option c
Human Resources,Malta,"Question 7,",option c
Human Resources,Malta,"Question 8,",option d
Human Resources,Malta,"Question 9,",option d
Human Resources,Malta,"Question 10,",option c
Human Resources,Malta,"Question 11,",option d
Human Resources,Malta,"Question 12,",option d
Human Resources,Malta,"Question 13,",option c
Human Resources,Malta,"Question 14,",option d
Human Resources,Malta,"Question 15,",option d
Human Resources,Malta,"Question 16,",option c
Human Resources,Malta,"Question 17,",option d
Human Resources,Malta,"Question 18,",option d
Human Resources,United Kingdom,"Question 1,",option d
Human Resources,United Kingdom,"Question 2,",option d
Human Resources,United Kingdom,"Question 3,",option d
Human Resources,United Kingdom,"Question 4,",option c
Human Resources,United Kingdom,"Question 5,",option d
Human Resources,United Kingdom,"Question 6,",option c
Human Resources,United Kingdom,"Question 7,",option c
Human Resources,United Kingdom,"Question 8,",option d
Human Resources,United Kingdom,"Question 9,",option d
Human Resources,United Kingdom,"Question 10,",option c
Human Resources,United Kingdom,"Question 11,",option d
Human Resources,United Kingdom,"Question 12,",option d
Human Resources,United Kingdom,"Question 13,",option c
Human Resources,United Kingdom,"Question 14,",option d
Human Resources,United Kingdom,"Question 15,",option d
Human Resources,United Kingdom,"Question 16,",option c
Human Resources,United Kingdom,"Question 17,",option d
Human Resources,United Kingdom,"Question 18,",option d
Business Analyst,North Macedonia,"Question 1,",option d
Business Analyst,North Macedonia,"Question 2,",option d
Business Analyst,North Macedonia,"Question 3,",option d
Business Analyst,North Macedonia,"Question 4,",option d
Business Analyst,North Macedonia,"Question 5,",option d
Business Analyst,North Macedonia,"Question 6,",option d
Business Analyst,North Macedonia,"Question 7,",option d
Business Analyst,North Macedonia,"Question 8,",option d
Business Analyst,North Macedonia,"Question 9,",option d
Business Analyst,North Macedonia,"Question 10,",option c
Business Analyst,North Macedonia,"Question 11,",option d
Business Analyst,North Macedonia,"Question 12,",option d
Business Analyst,North Macedonia,"Question 13,",option d
Business Analyst,North Macedonia,"Question 14,",option d
Business Analyst,North Macedonia,"Question 15,",option d
Business Analyst,North Macedonia,"Question 16,",option d
Business Analyst,North Macedonia,"Question 17,",option d
Business Analyst,North Macedonia,"Question 18,",option d
Business Analyst,Canada,"Question 1,",option d
Business Analyst,Canada,"Question 2,",option d
Business Analyst,Canada,"Question 3,",option d
Business Analyst,Canada,"Question 4,",option d
